,id,timestamp,lat,lon,destination,pattern_id,pattern_distance,trip_id
808,6237,20191204 19:51:43,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
809,3206,20191204 19:51:48,40.43775304158529,-79.93295542399089,Downtown,6912,47388,5768
815,6439,20191204 19:51:47,40.41947569413619,-79.88889617919922,Braddock Hills Shopping Ctr,6776,41156,6769
830,6119,20191204 19:51:56,40.43341748219616,-79.88446836651497,Braddock,6914,43235,6767
832,3311,20191204 19:52:00,40.44131879986457,-79.99739377003796,Downtown,6774,58857,5765
838,6118,20191204 19:52:00,40.43892135620117,-79.9341303507487,Braddock,6914,21892,6771
846,3255,20191204 19:52:08,40.441282092400314,-79.99729444395821,Downtown,6912,70618,5766
848,6119,20191204 19:52:09,40.432846527099606,-79.88475555419922,Braddock,6914,43518,6767
849,3308,20191204 19:52:07,40.43855494837607,-79.98496566280242,Downtown,6774,54517,5767
852,6342,20191204 19:52:06,40.41741680276805,-79.8876374343346,Downtown,6806,9439,5846
853,6237,20191204 19:52:14,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
854,3206,20191204 19:52:15,40.43907655988421,-79.93427385602679,Downtown,6912,48040,5768
856,6118,20191204 19:52:12,40.43788738250733,-79.93317260742188,Braddock,6914,22387,6771
864,3255,20191204 19:52:17,40.44143295288086,-79.9977045694987,Downtown,6912,70781,5766
868,3311,20191204 19:52:16,40.44146760843568,-79.99779782052768,Downtown,6774,59025,5765
871,6237,20191204 19:52:27,40.40226364135742,-79.8675537109375,Downtown,6898,353,5847
872,3206,20191204 19:52:22,40.4396873695263,-79.93485945549564,Downtown,6912,48318,5768
876,3308,20191204 19:52:26,40.43860646298057,-79.98638273540296,Downtown,6774,54948,5767
878,6439,20191204 19:52:22,40.41732660929362,-79.88758436838786,Braddock Hills Shopping Ctr,6776,42078,6769
879,6342,20191204 19:52:23,40.41827241429743,-79.88815696284456,Downtown,6806,9783,5846
889,6237,20191204 19:52:38,40.40230941772461,-79.86724853515625,Downtown,6898,518,5847
892,6118,20191204 19:52:36,40.437817891438804,-79.93108028835721,Braddock,6914,23016,6771
893,6119,20191204 19:52:37,40.43152058124542,-79.88444888591766,Braddock,6914,44029,6767
906,6342,20191204 19:52:45,40.41992950439453,-79.8891830444336,Downtown,6806,10480,5846
907,6237,20191204 19:52:47,40.4017333984375,-79.86646270751953,Downtown,6898,823,5847
909,3255,20191204 19:52:49,40.441913354592245,-79.99893125940542,Downtown,6912,71176,5766
910,6118,20191204 19:52:49,40.4378422328404,-79.93067441667829,Braddock,6914,23148,6771
913,3311,20191204 19:52:48,40.44191460531266,-79.99893438620646,Downtown,6774,59379,5765
915,6342,20191204 19:52:48,40.420171590951774,-79.88932858980618,Downtown,6806,10589,5846
917,3206,20191204 19:52:53,40.442686171758744,-79.9376235235305,Downtown,6912,49733,5768
919,6118,20191204 19:52:51,40.43786133986253,-79.93042602539063,Braddock,6914,23217,6771
921,3308,20191204 19:52:52,40.43865203857422,-79.98752085367839,Downtown,6774,55275,5767
923,6439,20191204 19:52:54,40.41600799560547,-79.88523319789341,Braddock Hills Shopping Ctr,6776,42950,6769
924,6342,20191204 19:52:53,40.42048901230542,-79.88952602557282,Downtown,6806,10733,5846
931,3311,20191204 19:52:59,40.44215621948242,-79.99954490661621,Downtown,6774,59570,5765
933,6342,20191204 19:52:57,40.420797489307546,-79.8897203516077,Downtown,6806,10882,5846
936,3255,20191204 19:53:01,40.44215393066406,-79.99953842163086,Downtown,6912,71365,5766
938,6119,20191204 19:53:08,40.42890739440918,-79.88454818725586,Braddock,6914,45001,6767
952,6237,20191204 19:53:18,40.4012336730957,-79.8658447265625,Downtown,6898,1036,5847
957,3308,20191204 19:53:19,40.43869471549988,-79.98834156990051,Downtown,6774,55515,5767
962,3206,20191204 19:53:24,40.44374405710321,-79.93860224673622,Downtown,6912,50191,5768
964,6118,20191204 19:53:23,40.437985370033665,-79.92798634579307,Braddock,6914,23849,6771
965,6119,20191204 19:53:24,40.428143326117066,-79.88478150659678,Braddock,6914,45333,6767
968,6439,20191204 19:53:23,40.41548440811482,-79.88298408021318,Braddock Hills Shopping Ctr,6776,43601,6769
978,6342,20191204 19:53:29,40.421845245361325,-79.89036005193537,Downtown,6806,11339,5846
984,3308,20191204 19:53:35,40.43876042859308,-79.98983317408069,Downtown,6774,55894,5767
997,6237,20191204 19:53:50,40.39982986450195,-79.86370086669922,Downtown,6898,1919,5847
999,3255,20191204 19:53:45,40.44210243225098,-80.00111770629883,Downtown,6912,71886,5766
1000,6118,20191204 19:53:44,40.438031387329104,-79.92784271240234,Braddock,6914,23940,6771
1001,6119,20191204 19:53:51,40.4255239313299,-79.88567144220525,Braddock,6914,46378,6767
1003,3311,20191204 19:53:41,40.44211280345917,-80.00108432769775,Downtown,6774,60093,5765
1004,6439,20191204 19:53:47,40.414432525634766,-79.88346099853516,Braddock Hills Shopping Ctr,6776,44067,6769
1007,3206,20191204 19:53:54,40.44389898126776,-79.93880740079013,Downtown,6912,50297,5768
1020,3308,20191204 19:53:59,40.438883197841356,-79.99257090554309,Downtown,6774,56757,5767
1021,3311,20191204 19:53:59,40.44198267083419,-80.00157948544151,Downtown,6774,60280,5765
1023,6342,20191204 19:53:59,40.42346609206427,-79.89134143647694,Downtown,6806,11964,5846
1037,6119,20191204 19:54:08,40.42451422555106,-79.8860006786528,Braddock,6914,46788,6767
1040,6439,20191204 19:54:10,40.41300314664841,-79.88305187225342,Braddock Hills Shopping Ctr,6776,44806,6769
1042,6237,20191204 19:54:13,40.40095901489258,-79.86229705810547,Downtown,6898,2537,5847
1044,3255,20191204 19:54:15,40.441849630387104,-80.00211309214107,Downtown,6912,72258,5766
1045,6118,20191204 19:54:15,40.43806076049805,-79.92329915364583,Braddock,6914,25206,6771
1055,6119,20191204 19:54:19,40.42353107890145,-79.8863172687468,Braddock,6914,47189,6767
1061,3206,20191204 19:54:25,40.444557993035566,-79.94247222364994,Downtown,6912,51388,5768
1065,3308,20191204 19:54:29,40.43892207290187,-79.99387521454783,Downtown,6774,57119,5767
1066,3311,20191204 19:54:30,40.44154098186087,-80.00249643528716,Downtown,6774,60670,5765
1068,6342,20191204 19:54:30,40.42518906095135,-79.89148336382054,Downtown,6806,12765,5846
1076,6439,20191204 19:54:33,40.412157440185545,-79.88144264221191,Braddock Hills Shopping Ctr,6776,45345,6769
1078,6237,20191204 19:54:38,40.40203857421875,-79.8609619140625,Downtown,6898,3063,5847
1085,6439,20191204 19:54:42,40.411733298466125,-79.88065417059536,Braddock Hills Shopping Ctr,6776,45641,6769
1086,6342,20191204 19:54:42,40.42573373967951,-79.8916947335908,Downtown,6806,12967,5846
